"Part","MEAN_FITC.A","MEAN_Pacific_Blue.A","STD_FITC.A","STD_Pacific_Blue.A"
"EXPRESSOR_pLac_1_M9_glucose",135.925547540073,52.9784314541307,5.06871110700662,2.29550568142728
"EXPRESSOR_pLac_2_M9_glucose",117.597043716507,6458.33633160135,6.17773547318697,402.750826853707
"EXPRESSOR_pLac_3_M9_glucose",11059.0644387399,56.8639798873268,449.65088144979,11.772568682052
"EXPRESSOR_pLac_4_M9_glucose",120.153698372716,116.59443736948,0.616329300540004,53.2421295673722
"EXPRESSOR_pLac_5_M9_glucose",127.079098436809,61.7514067499768,3.44209398800203,2.80818102682302
"EXPRESSOR_pLac_6_M9_glucose",117.245612814194,2045.94036706429,2.74648120722932,1445.35118837587
"EXPRESSOR_pLac_7_M9_glucose",124.636949577973,2842.53369000381,3.1778545474728,273.822084371116
"EXPRESSOR_pLac_8_M9_glucose",114.42059019768,7709.13852019633,7.1163918737767,386.510989388493
"EXPRESSOR_pLac_9_M9_glucose",110.479450456329,8971.03493559103,4.8002927644197,353.045213031573
"EXPRESSOR_pLac_10_M9_glucose",109.699551693592,10864.4947301613,4.63276949196765,419.433744436195
"EXPRESSOR_pLac_11_M9_glucose",115.313060507709,7381.50617294125,3.06951773524453,771.028333962146
"EXPRESSOR_pLac_12_M9_glucose",680.506500581861,6066.68823993133,125.625021564675,471.819944718846
